1,511,310,1223,1940
2,868,384,1109,1761
3,574,403,1448,1566
4,738,497,1075,1963
5,898,405,1218,1504
6,572,323,1225,1945
7,558,460,1436,1863
8,549,322,1104,1669
9,921,451,1500,1696
10,862,436,1085,1984
11,796,363,1037,1512
12,929,447,1059,1570
13,916,390,1092,1513
14,738,365,1305,1799
15,699,459,1439,1948
16,594,407,1062,1586
17,817,391,1451,1800
18,739,433,1003,1776
19,780,336,1090,1828
20,659,489,1391,1807
21,914,309,1035,1532
22,764,422,1176,1698
23,644,354,1260,1536
24,838,427,1133,1785
25,835,485,1035,1989
26,705,432,1082,1580
27,522,344,1009,1569
28,773,440,1096,1904
29,612,343,1388,1918
30,651,308,1058,1901
31,602,404,1414,1979
32,553,372,1388,1841
33,717,446,1288,1787
34,950,363,1365,1830
35,843,448,1483,1584
36,516,379,1389,1586
37,751,440,1184,1778
38,731,487,1085,1687
39,757,385,1036,1738
40,525,425,1445,1939
41,599,486,1429,1728
42,533,424,1364,1559
43,721,446,1497,1855
44,725,319,1197,1909
45,805,500,1078,1891
46,837,410,1098,1750
47,745,438,1373,1670
48,648,494,1467,1696
49,757,378,1182,1795
50,577,330,1184,1657
51,992,314,1186,1909
52,737,425,1394,1936
53,820,393,1137,1604
54,913,308,1321,1788
55,508,481,1020,1792
56,962,402,1276,1574
57,772,349,1260,1534
58,766,466,1038,1763
59,681,336,1298,1519
60,842,453,1185,1727
61,959,489,1412,1991
62,649,459,1008,1723
63,615,472,1444,1869
64,680,443,1130,1868
65,701,363,1147,1896
66,941,376,1286,1509
67,848,400,1316,1863
68,714,305,1276,1979
69,600,412,1110,1620
70,606,391,1401,1981
71,504,384,1156,1614
72,670,347,1413,1971
73,812,316,1318,1507
74,688,492,1383,1673
75,748,411,1043,1554
76,899,500,1468,1563
77,923,442,1078,1652
78,858,300,1474,1978
79,899,335,1461,1843
80,972,489,1472,1591
81,522,496,1119,1563
82,618,387,1419,1989
83,704,497,1134,1518
84,853,356,1283,1620
85,952,375,1265,1961
86,743,417,1443,1960
87,504,342,1270,1533
88,751,400,1388,1926
89,570,500,1012,1653
90,545,384,1044,1885
91,982,420,1121,1848
92,753,347,1465,1884
93,543,482,1041,1677
94,549,461,1116,1790
95,733,398,1412,1895
96,927,418,1479,1868
97,512,379,1387,1753
98,521,457,1410,1877
99,991,362,1081,1866
100,820,377,1083,1579
101,731,358,1111,1879
102,639,308,1241,1971
103,603,409,1061,1860
104,974,463,1108,1890
105,591,348,1107,1619
106,581,480,1063,1513
107,910,338,1129,1591
108,813,430,1082,1716
109,524,415,1360,1531
110,855,448,1078,1741
111,917,429,1066,1660
112,613,429,1320,1505
113,898,390,1129,1682
114,874,393,1101,1759
115,779,362,1091,1886
116,686,442,1449,1663
117,988,311,1151,1883
118,641,302,1022,1558
119,788,473,1332,1516
120,589,457,1447,1559
121,777,397,1313,1788
122,500,450,1467,1821
123,981,419,1241,1661
124,866,417,1176,1778
125,965,343,1352,1937
126,631,468,1056,1576
127,936,381,1291,1632
128,725,412,1340,1525
129,919,304,1471,1845
130,952,418,1304,1881
131,615,455,1223,1982
132,658,465,1298,1567
133,512,326,1241,1822
134,899,319,1299,1978
135,759,441,1209,1795
136,630,448,1452,1639
137,747,414,1471,1819
138,859,304,1392,1548
139,716,475,1318,1963
140,505,361,1082,1550
141,576,413,1334,1659
142,558,488,1156,1907
143,550,420,1074,1956
144,751,325,1498,1888
145,954,348,1391,1815
146,784,428,1439,1957
147,983,382,1016,1726
148,601,476,1479,1640
149,645,463,1039,1721
150,695,455,1109,1701
151,803,360,1133,1542
152,551,379,1287,1820
153,629,476,1455,1617
154,696,359,1234,1841
155,631,483,1420,1661
156,945,336,1182,1840
157,642,352,1440,1895
158,595,358,1225,1838
159,780,409,1467,1614
160,870,429,1420,1970
161,525,420,1072,1730
162,795,486,1016,1512
163,926,372,1497,1622
164,594,305,1057,1891
165,702,332,1280,1839
166,962,449,1004,1561
167,594,471,1059,1742
168,777,430,1435,1655
169,750,470,1221,1717
170,783,410,1367,1534
171,662,488,1475,1627
172,597,342,1381,1683
173,565,345,1053,2000
174,947,352,1156,1903
175,810,464,1244,1687
176,540,441,1399,1658
177,757,303,1131,1545
